Signal Strength (dBm),Data Throughput (Mbps),BB60C Measurement (dBm),Network Type_4G,Network Type_5G,Network Type_LTE
-93.95841928103432,9.893888392736342,-97.71179246900164,1,0,0
-90.5031476803986,9.429183074575109,-95.1746809779642,1,0,0
-88.18077482183836,1.7946362309151958,0.0,0,0,0
-94.4717806254678,1.5446037094405989,-94.20599595887488,0,0,1
-89.9479979740195,2.613700297925172,-85.50390071824677,0,0,1
-89.7537255174982,2.6613090131304995,-87.0153802854848,0,0,1
-85.58789893288886,2.645167751823348,-82.43735464886429,0,0,1
-85.39429850214107,6.632423936979863,-88.73146481458028,1,0,0
-93.82000121661336,95.97126814511311,-92.58667570756344,0,1,0
-84.30197092625862,2.580027117583712,0.0,0,0,0
-94.48261117343408,99.94181496092514,-94.75050999262076,0,1,0
-92.13762674409348,9.194988495662969,-92.72730512661184,1,0,0
-79.60918142706247,4.901808797483028,-83.69218807594817,1,0,0
-92.6014837762801,8.585925255003684,-91.71594148654764,1,0,0
-91.98387618530587,2.938205260281623,-87.70635335335376,0,0,1
-85.50434468687588,2.7043870666940157,0.0,0,0,0
-86.37002092633098,2.142637883839148,-85.93223184635698,0,0,1
-94.82052725116152,84.32350755082864,-96.46933870857008,0,1,0
-92.3098882260158,40.76849494348175,-87.9896071709156,0,1,0
-84.85613784915068,1.0442471030579945,0.0,0,0,0
-104.233862172357,38.86684663943147,-101.77549205204735,0,1,0
-92.26667765004042,2.841695695631373,-89.30130474027865,0,0,1
-102.91951411742862,72.54836975138883,-100.12100422849512,0,1,0
-82.71875603156711,1.1571569943100417,0.0,0,0,0
-86.41922711988907,1.678900385085612,-90.61807865604231,0,0,1
-87.45931279327212,2.1107271018752627,-90.17476537995913,0,0,1
-90.42156770174932,9.113962666571624,-91.20435843301476,1,0,0
-82.87668314813342,9.09524930890758,-82.72850960883652,1,0,0
-91.0370017703209,1.4974285451752598,-88.96922960146644,0,0,1
-88.83156539311982,50.697912545509176,-90.67000434335232,0,1,0
-84.17029254221522,1.8875004386091423,0.0,0,0,0
-86.95214061203527,2.3339430339818144,0.0,0,0,0
-88.55121735812313,20.81881498335476,-93.49363075314191,0,1,0
-91.04559969982049,6.3542731434081166,-92.63312142355892,1,0,0
-89.19255469853162,1.3326632154862843,0.0,0,0,0
-90.3809803129014,4.296599125831868,-91.13570606093776,1,0,0
-93.4290976789669,8.123706473099443,-91.71485098366075,1,0,0
-88.17489881487738,2.188952670372346,0.0,0,0,0
-92.32672365579458,1.453312804453976,-96.63248522833364,0,0,1
-94.05902692277148,2.160950013433349,-89.44236956322334,0,0,1
-88.2992846309012,7.259404888618539,-91.7062444247114,1,0,0
-88.65736804140441,6.96602753519993,-88.64583804958431,1,0,0
-77.60536709242695,2.529619601805991,0.0,0,0,0
-91.20056113756996,2.70289727510253,-96.0236830414374,0,0,1
-83.91531144894103,1.4577892096932272,-86.70728515108463,0,0,1
-84.6068797362944,4.81869246121524,-88.23578267900442,1,0,0
-101.85950571465678,51.3502091565388,-97.93865882525444,0,1,0
-89.84068419363022,1.3003380016340833,0.0,0,0,0
-100.38330467262163,59.4654439347032,-104.69617634743896,0,1,0
-97.1145233328392,1.5856440734019297,-96.095707436476,0,0,1
-88.78349531732076,8.925600370831946,-91.26108511558714,1,0,0
-93.67050760093076,53.955471705844566,-95.24667124059528,0,1,0
-79.99028648694578,2.2319709005203583,0.0,0,0,0
-93.0266423508851,52.32871486916071,-96.7795017817712,0,1,0
-90.8789612136115,2.4058868819573536,-91.01298459117396,0,0,1
-96.584108806459,99.85127602536546,-95.15845681110709,0,1,0
-89.43645501235518,5.091079015121411,-91.84348742369744,1,0,0
-97.0737574622514,2.3139103125342797,-101.3841772986872,0,0,1
-95.7541781030328,75.92038586542807,-99.47429601769691,0,1,0
-90.94799668424064,3.621881715612951,-90.49694140163363,1,0,0
-98.5538005177459,56.12523838932985,-98.96140174177631,0,1,0
-89.70491956845245,2.0774035959054284,-93.65018256888617,0,0,1
-85.79664051405527,2.9670429454304443,0.0,0,0,0
-88.0662980475416,5.992427815444306,-92.940222847784,1,0,0
-84.81202181375556,1.6704160947417457,-82.69188161044775,0,0,1
-95.11434031149442,71.76944770174876,-98.36552593973482,0,1,0
-93.63651103235031,60.4396567882396,-94.16595559428607,0,1,0
-87.39847284511492,8.086696944492264,-84.10452619652645,1,0,0
-82.29259233249465,1.370660359057429,0.0,0,0,0
-89.14219666411344,9.152852301975871,-88.96773314656303,1,0,0
-81.31622913000875,2.9010621051724077,-78.88028996824315,0,0,1
-85.52765743729701,2.033145256891958,0.0,0,0,0
-84.60358983599205,2.75972535472232,0.0,0,0,0
-84.67753185796164,2.6423965651004533,-83.31351815612757,0,0,1
-88.27119723232853,2.187321582417077,0.0,0,0,0
-80.76720286076119,1.798737496789382,0.0,0,0,0
-90.31308265521366,2.0516251977466475,-93.656799184931,0,0,1
-91.3824380587868,6.399127897615784,-91.3278868796823,1,0,0
-96.15866607709329,5.38270972978154,-99.6172156453084,1,0,0
-95.94510811980118,1.8035576013086485,-92.1419604983119,0,0,1
-86.99645624407064,2.754181162036378,0.0,0,0,0
-86.50732227722614,6.191854930319559,-85.48615242367835,1,0,0
-81.04102784028854,2.2889405542420675,-82.70695461869742,0,0,1
-88.15971757461026,2.400068545544209,-89.16871569387303,0,0,1
-93.99211934871887,1.5620089978174272,-89.69983881240034,0,0,1
-93.05372536060004,2.109314696070191,-92.790940757218,0,0,1
-87.57534982112406,1.203784776132027,0.0,0,0,0
-81.62323668687897,2.4077141832686624,0.0,0,0,0
-90.29213391927522,1.2219550491702962,-87.58432773663642,0,0,1
-89.44140716237905,21.31518420930036,-84.69548904902575,0,1,0
-107.81166829397657,57.78439105708844,-112.7124300826982,0,1,0
-85.5730832878005,2.546283747837343,0.0,0,0,0
-87.22940279430395,1.9681541394204032,0.0,0,0,0
-87.39100841074655,1.5524746499503062,0.0,0,0,0
-94.35632046459122,9.705538847397392,-96.93738752346232,1,0,0
-90.6232858973164,2.9028596207236648,-88.50605783985591,0,0,1
-94.22988476878324,1.916469300785668,-89.62820692149577,0,0,1
-87.24943422149937,1.0008855628744158,0.0,0,0,0
-94.84468771712312,4.341150620143781,-98.82665088762776,1,0,0
-91.34617940466738,95.1810861835365,-92.15169946509424,0,1,0
-93.8087152269574,2.751766167034114,-95.98399096325736,0,0,1
-83.73203480349518,2.518137878516751,0.0,0,0,0
-103.74190828070432,66.5590642677099,-105.12480573210853,0,1,0
-84.60071879458965,1.061715808616145,0.0,0,0,0
-88.05548923965074,2.6865561818728048,-87.465682898653,0,0,1
-85.00841616756831,1.500935797584998,-84.29095633613083,0,0,1
-82.7466241920689,5.327193100040985,-84.00741372194075,1,0,0
-86.97229647265941,1.7952247571057411,0.0,0,0,0
-101.49790618463798,11.359961579302754,-103.98897572772697,0,1,0
-86.6810703284833,7.760783198128808,-91.52712141157022,1,0,0
-94.72989636976256,49.45464820276852,-97.43817685762092,0,1,0
-84.61333670865285,9.66043497123751,-81.56243352369623,1,0,0
-81.67910570109207,1.9086908461353105,0.0,0,0,0
-87.43525335035572,2.854221257716855,-84.79084606960068,0,0,1
-96.4917103233204,2.485061665680843,-92.76535229785205,0,0,1
-83.93970740054077,1.689562840145294,0.0,0,0,0
-92.83831941899668,3.737418391369333,-92.64607371119465,1,0,0
-88.77551473202601,2.065008132831964,0.0,0,0,0
-96.31278116783712,74.31771474178518,-93.99961597080416,0,1,0
-88.54373188572634,2.7547009062656773,-88.12612224305072,0,0,1
-87.67426992480955,5.654585760263142,-84.25101487731021,1,0,0
-90.81294431722708,1.7815103046592742,-93.2306341205655,0,0,1
-84.61310002204378,22.02855232694662,-85.10533718318014,0,1,0
-84.31486806819001,1.1767698939690374,-85.6313959302465,0,0,1
-82.72963396003905,2.7160465420144586,0.0,0,0,0
-83.16259361795919,2.52460524900192,0.0,0,0,0
-96.572030057768,43.43373492934908,-95.24130352277284,0,1,0
-82.12513471088499,1.1396013092292578,0.0,0,0,0
-93.92104470519004,5.813210399235111,-93.19497237636982,1,0,0
-75.81415910378135,2.600146864153736,0.0,0,0,0
-90.70709665246312,4.879935172175498,-94.03218576152204,1,0,0
-96.194473195455,1.1529599109986262,-98.48081356006487,0,0,1
-83.11025541386111,2.983545761958499,0.0,0,0,0
-98.15772599327973,3.8626280300142737,-98.99627231687366,1,0,0
-87.72595088722431,1.3656755597376342,0.0,0,0,0
-98.57524091483312,64.02533144752333,-99.80993803694015,0,1,0
-108.73752421362616,63.72196214919905,-106.0430352728057,0,1,0
-97.49865088075816,50.41348911371133,-102.00250714736976,0,1,0
-86.29637112797217,1.1750973280555612,0.0,0,0,0
-83.741521035357,9.39051703342283,-84.18532947098448,1,0,0
-94.38160361203694,2.936152762901467,-94.36642400853528,0,0,1
-88.80643261373478,2.8183505281071715,-86.89587448634217,0,0,1
-89.73274046729038,2.399379818117417,-89.1269423772799,0,0,1
-85.6923086988286,2.876631457302632,-80.85663663369196,0,0,1
-85.20483286791801,1.964264197839684,0.0,0,0,0
-99.25685225156406,52.803657263980746,-102.64466413181285,0,1,0
-89.1150210916914,1.2117486364262586,0.0,0,0,0
-92.83776400971018,1.9292263376179415,-94.67189641062367,0,0,1
-83.24897099997139,37.76214533405356,-84.99685903720928,0,1,0
-100.6573292842978,3.1803871913504578,-99.06226946778452,1,0,0
-91.8400686441052,3.537652087484969,-88.538558814126,1,0,0
-93.81023249127423,1.7953688288661094,-93.36824586623725,0,0,1
-91.6132023915679,14.616446408309402,-92.1921320447707,0,1,0
-93.1001367576949,4.354047400695378,-95.5018553782919,1,0,0
-83.18432889694523,2.155614100502169,0.0,0,0,0
-81.6537001078566,1.9844646303648168,0.0,0,0,0
-82.79313400826275,1.858124738605332,0.0,0,0,0
-82.87280436491577,5.879621999888125,-87.59436528914163,1,0,0
-88.49471289187527,4.054812409005836,-83.58017721344734,1,0,0
-88.75513640819405,3.942033869728754,-85.4399530770718,1,0,0
-87.90879822621218,44.9853713088892,-91.95914547392842,0,1,0
-102.9440923766011,76.46552906594668,-106.74847239908054,0,1,0
-90.3929290966276,68.67107790062146,-85.63819881348739,0,1,0
-93.01565411746658,5.361119855272404,-92.7185144563829,1,0,0
-95.00573394537732,19.570356761340445,-90.59525134499354,0,1,0
-92.8882719719825,5.810232453623303,-96.62003174647832,1,0,0
-93.08294823880344,1.3028910438707146,-92.12614999718816,0,0,1
-91.76118714843024,7.223339373484244,-92.0660004949739,1,0,0
-85.53226131462549,2.5042573990871424,0.0,0,0,0
-101.77764749788132,66.30857104845488,-104.92926351841108,0,1,0
-90.92593994400085,1.0516187857263637,-90.72144590234798,0,0,1
-90.04804829319785,2.9680630285582605,-87.48046739072856,0,0,1
-94.73840726088758,96.684312435856,-94.83432206903244,0,1,0
-83.52751449814572,2.2614348889838585,0.0,0,0,0
-96.92013495774115,1.2551403491427418,-98.3763631278798,0,0,1
-79.35017269776681,2.48947345565842,0.0,0,0,0
-87.03658538045732,1.257192971921105,0.0,0,0,0
-96.55675713388013,65.04817774509931,-98.99932011839712,0,1,0
-80.98923868730586,2.597311560713273,0.0,0,0,0
-81.45230281881739,1.418911539019022,0.0,0,0,0
-93.9432152346713,2.343417718488121,-93.19260950008317,0,0,1
-91.13662039171518,5.374684628216855,-91.27488385066636,1,0,0
-93.20682017059588,3.445793372517617,-98.15542389474028,1,0,0
-100.29975039492358,44.505742695243306,-96.93532847022487,0,1,0
-96.92119009231835,72.5668719589059,-93.2863440086272,0,1,0
-83.4345737799438,2.3262924979504174,0.0,0,0,0
-102.04553463877988,10.020433439642998,-98.6067405264706,0,1,0
-91.63454365014668,4.629098442408862,-94.73579035918748,1,0,0
-86.3613938417647,2.7730050532838053,-82.7321699066548,0,0,1
-98.55093474720856,30.153212901693056,-99.16445974474802,0,1,0
-88.05999483390708,6.812416097749951,-83.50551291952641,1,0,0
-91.87128873132906,2.382493327571978,-93.7682039102836,0,0,1
-84.89882382471362,2.6583012805682795,0.0,0,0,0
-79.3507532407908,1.6274062495143125,0.0,0,0,0
-85.3885942231673,1.9450308856391705,0.0,0,0,0
-89.1557712685219,1.0120940863679568,0.0,0,0,0
-88.29210495691319,2.519647316856777,0.0,0,0,0
-89.4307747825957,2.8190969460242767,0.0,0,0,0
-90.63496690707748,7.083950633129046,-89.44292373415594,1,0,0
-86.85140552530717,2.236581597509576,0.0,0,0,0
-89.8946886642294,6.480777206136146,-93.81313851849583,1,0,0
-91.33273558429458,27.683827026059003,-95.91776232919553,0,1,0
-87.8114332997581,2.423555889981899,-86.98457183421226,0,0,1
-87.57506606235827,1.7711071288026277,0.0,0,0,0
-95.53059757784666,17.68627271464495,-95.35049326408569,0,1,0
-83.18139597628746,2.8875562227367384,-87.17576865545301,0,0,1
-82.41332946433907,1.911299098879755,0.0,0,0,0
-102.08113527896325,76.9091656560575,-98.47445706107438,0,1,0
-86.36075911018571,1.3097151481576426,-89.27038873632648,0,0,1
-89.39380618975187,2.0767262042020453,0.0,0,0,0
-95.66084677822184,44.85008270891863,-97.61594253468157,0,1,0
-89.71088413846284,9.470166969367906,-91.81844511026615,1,0,0
-94.80748177182596,77.52976982379604,-94.66258574870558,0,1,0
-87.7970745969906,88.66123041778441,-91.21259422509154,0,1,0
-95.31674053337952,9.237980642554565,-93.22002709833428,1,0,0
-85.18356531333707,1.2238691562695785,0.0,0,0,0
-89.94059157487854,1.5580165806955932,0.0,0,0,0
-91.97703827648748,33.283985267407104,-89.03521482331564,0,1,0
-92.0703442098651,5.067954254196355,-90.39031170243496,1,0,0
-96.49129743657454,26.68679653366489,-96.36266864280464,0,1,0
-79.12403569489872,2.674899190166924,0.0,0,0,0
-89.42492207073596,2.0281638415323706,-89.19995398183008,0,0,1
-96.07381463586836,1.507969506752507,-100.17815439270524,0,0,1
-90.35695466616968,2.011851600292788,-86.7737252773811,0,0,1
-89.35646246803293,6.720354723972746,-90.38856921388708,1,0,0
-93.69037066731012,1.6456195868957006,-94.05051649290633,0,0,1
-90.22666507790582,2.090855900423426,0.0,0,0,0
-92.18416719526688,4.802354515447285,-94.58368679274254,1,0,0
-90.21820591581022,1.0432911226939672,0.0,0,0,0
-88.15744023098924,1.8537894556466048,0.0,0,0,0
-83.94888935084099,1.079594254671305,0.0,0,0,0
-93.37729614873228,8.743552529624765,-97.88963296060088,1,0,0
-85.18706392590634,1.5208062175758168,0.0,0,0,0
-88.03633860429336,7.327995147096039,-86.00356632696885,1,0,0
-91.67535490047086,32.8041458946401,-90.93606353924103,0,1,0
-98.824858766893,28.505933892940696,-101.59399542160324,0,1,0
-91.95082149179498,2.3116415346547856,-90.17957885696934,0,0,1
-85.70266798091903,5.679833763379047,-86.40124065995077,1,0,0
-87.4106975541511,1.5991126392297943,-91.45510651456776,0,0,1
-85.82175489685852,2.540042456911657,-80.93685005199048,0,0,1
-89.16211966540891,9.501343948438446,-85.73266484084694,1,0,0
-93.93813620192788,4.741579446272036,-97.39397862653574,1,0,0
-86.66880398581847,4.018621102711975,-88.97690659108542,1,0,0
-90.76631211234331,55.66507885766414,-94.45958580821068,0,1,0
-89.01566553873437,1.8937483904008776,-91.81096072874068,0,0,1
-87.40684008141864,2.9456883173200445,0.0,0,0,0
-98.9999654734752,73.21648292795817,-101.31139634443346,0,1,0
-91.08091327610916,1.967754529128518,-87.00330083960738,0,0,1
-91.38586552507245,69.93524494724178,-96.25305349048664,0,1,0
-84.66460252538984,2.607386903754605,0.0,0,0,0
-93.55087841724765,18.69765257483843,-95.35031114839472,0,1,0
-87.62626496150357,2.168791843178915,-89.21659932687872,0,0,1
-90.60046780501524,1.6141754867204974,-92.36901563222104,0,0,1
-101.32003083973682,60.73633913008595,-98.90007692847507,0,1,0
-96.89175941299884,20.228143482704745,-91.8971526024021,0,1,0
-94.27340972337132,52.41896146945615,-91.86962675396111,0,1,0
-86.4273863320147,1.49795379832273,0.0,0,0,0
-93.30444796685816,1.3416274126124217,-95.11627473812813,0,0,1
-84.63685915035795,1.0025361538309805,0.0,0,0,0
-92.51709164725035,60.916782346381126,-89.71136438904097,0,1,0
-94.5104313119568,76.64585690964867,-93.44326929225676,0,1,0
-93.5960502215372,4.09628970424855,-90.17066792755084,1,0,0
-98.6488764158718,44.55523080137397,-102.23270396600564,0,1,0
-94.92590384218518,80.01184660736831,-95.49463038895604,0,1,0
-95.57401124379533,52.001484024777774,-100.1983489483555,0,1,0
-87.73291309526329,7.968159593607142,-87.55085577343807,1,0,0
-94.93009092015338,84.71825959111858,-96.54641226090122,0,1,0
-95.04819609286534,7.541145972130139,-93.71065522096198,1,0,0
-91.02349808983216,1.6220140073417748,-88.27421336677261,0,0,1
-85.63659839461017,2.549305239586035,0.0,0,0,0
-97.28304111120806,9.346573078663992,-96.1287519608788,1,0,0
-92.82309393238144,2.034263784021276,-92.54131671815128,0,0,1
-91.55417771462832,28.10577090599915,-91.80964591618309,0,1,0
-92.73453712914556,2.3523146669068904,-90.43683201340872,0,0,1
-90.15694589479496,3.6028127735446165,-90.12911147632816,1,0,0
-103.77394371061192,70.882492914317,-100.58647560677002,0,1,0
-86.9062296406862,1.3821242786927164,0.0,0,0,0
-95.2064634350364,83.67339073357971,-92.38713763715432,0,1,0
-87.87404124741337,7.896695092818003,-91.49006538773212,1,0,0
-79.4955395662399,1.3566630248564326,0.0,0,0,0
-84.81566620368226,4.954008932556132,-81.08255747110498,1,0,0
-97.3347113787691,16.546263559947683,-100.1569033610934,0,1,0
-90.09547361601892,1.877335544063151,-93.79095951658272,0,0,1
-98.52093438314768,3.077093508349252,-101.97084770898012,1,0,0
-83.57323469221426,1.6086151836417286,0.0,0,0,0
-103.73447845672776,33.78697774963794,-103.62108755876643,0,1,0
-89.22377973446498,1.820585605887893,-92.9742140736248,0,0,1
-81.72273399311692,2.3330516635707674,0.0,0,0,0
-94.26673081322345,9.73537113394594,-90.73728877938052,1,0,0
-89.80005585857329,5.169059545859393,-90.787530026536,1,0,0
-93.33910071717357,4.847828637968809,-91.0107173444494,1,0,0
-86.39438261175485,2.683967056116453,0.0,0,0,0
-82.44335198026596,1.754357583568487,0.0,0,0,0
-98.19642908657028,13.560175590635184,-96.70488943826156,0,1,0
-87.42277595823876,22.2852710875224,-83.5978249075574,0,1,0
-88.47306332414996,9.319805149251753,-89.32979318394788,1,0,0
-88.15366008934751,1.3147431666998208,0.0,0,0,0
-92.59530794875243,1.774366548311869,0.0,0,0,0
-88.15430066816593,1.986683176104761,-83.31108088002551,0,0,1
-88.4952924348415,75.65692797787946,-91.44342100579344,0,1,0
-101.96404554094237,93.20448544966476,-106.82995100222112,0,1,0
-92.4191395612216,2.512008483548154,-96.9874366525922,0,0,1
-85.50695949446452,1.382554742074794,0.0,0,0,0
-86.9254076481272,4.978671523788114,-85.21236341248441,1,0,0
-81.66114831507593,8.389815327446208,-77.03749515053065,1,0,0
-94.03164678171282,1.5518565959001258,-90.8531401475645,0,0,1
-82.61045511762148,2.6195408077945244,0.0,0,0,0
-86.81546534030495,2.5893257847957782,-90.1077827402716,0,0,1
-86.77248433272243,2.087755842322235,0.0,0,0,0
-90.2999170363102,7.39895980242371,-92.75960685832034,1,0,0
-89.16239455200831,6.0210903038225645,-84.2364173661917,1,0,0
-97.80477988694216,53.87210519175766,-96.41091567240116,0,1,0
-92.91947834585037,2.8978324363774304,-92.59861010647025,0,0,1
-85.12801627759985,54.039047272760925,-87.45027313155867,0,1,0
-85.29126014726265,1.9602698792767463,-85.35878521700279,0,0,1
-89.45301341040307,9.909700601468815,-87.5786448009944,1,0,0
-96.87254996150416,4.517699931503758,-92.16586968356545,1,0,0
-94.81121277858134,1.9383549921855436,-98.80501300635544,0,0,1
-88.04761847448327,1.512042346123026,-91.88488167155448,0,0,1
-82.92999041693864,8.856341472573607,-81.7883019137497,1,0,0
-87.9770582701088,7.194942624765143,-91.883499239014,1,0,0
-90.34680454459284,6.930345606156738,-93.10311278760796,1,0,0
-91.39940697511253,3.834901704278204,-91.39742761988468,1,0,0
-96.0130838380216,95.1106183345724,-94.39338544351526,0,1,0
-94.13925972606904,5.8846759809568026,-89.8138988680468,1,0,0
-81.82241885462935,2.980445069230148,0.0,0,0,0
-92.52455336852016,2.4590338571462445,-90.71405225121568,0,0,1
-88.90784756733501,1.09252383468,-91.77890502073508,0,0,1
-88.52086464113654,55.03225243459512,-90.74659729312675,0,1,0
-92.16787486006118,62.16692123816364,-89.77165801353122,0,1,0
-92.23802506218078,1.0670917428243156,-90.28974926889951,0,0,1
-88.817998067546,2.4964776123618,-92.42079239775646,0,0,1
-93.7658982096222,3.325035588379686,-89.55170486085892,1,0,0
-98.35828094867924,5.646174646040814,-96.16805274434324,1,0,0
-84.68953819357878,4.5352428084796745,-83.16689813414108,1,0,0
-83.95408016655661,19.305544296703737,-86.65489645794028,0,1,0
-91.52595765929637,1.4124054318035577,-94.94309509870538,0,0,1
-95.28197377362012,2.024600721830933,-94.57205806036032,0,0,1
-95.87574093531607,5.720426032791872,-93.40903128744972,1,0,0
-86.02712694897554,2.7698534936899333,0.0,0,0,0
-84.10228680012112,19.726974429974945,-79.38277834752307,0,1,0
-97.06258766678008,52.78231609127817,-95.65252709357308,0,1,0
-86.81266822076344,7.105216586623584,-81.99361499789401,1,0,0
-87.32357382819227,2.5679050361956817,0.0,0,0,0
-90.83376625027708,3.437132718382552,-94.91030786082274,1,0,0
-93.48045334962232,5.873533749438495,-94.4196320240246,1,0,0
-91.7281752569791,3.705269907717034,-96.41642616585987,1,0,0
-82.76963871123077,6.367879842717919,-83.27840457192826,1,0,0
-84.50633822974788,97.8470499225267,-80.45311994598698,0,1,0
-101.92704695909065,11.625419778396449,-103.6168843641417,0,1,0
-90.6091919139766,9.746723628317262,-92.73039688062816,1,0,0
-92.5627345468311,5.816062746534231,-87.93488646702377,1,0,0
-91.75879980374324,2.8722511430802693,-93.11061884066466,0,0,1
-97.9771160143802,52.08300536488901,-94.8688348807575,0,1,0
-88.87950399032145,5.269756116963794,-89.4518544217025,1,0,0
-97.818723982395,3.0746908890431395,-98.69033000480594,1,0,0
-89.72659822538748,1.8448915800617585,-94.4621291994108,0,0,1
-86.49785351770454,96.05195707081322,-89.42014722330725,0,1,0
-93.04395336381305,87.1988993535198,-96.73464084254526,0,1,0
-87.67287291748654,1.2498396214812668,-92.54861697954722,0,0,1
-91.63899482614218,1.0206911929454,-89.5998605648611,0,0,1
-89.91181537273164,86.72848667703704,-89.99667311441337,0,1,0
-86.23358187907718,2.6649974019719327,0.0,0,0,0
-90.0432386022415,47.71789783038694,-92.35984068949492,0,1,0
-87.50827092075214,2.7173441098589923,-84.65160490130758,0,0,1
-82.75868963710921,2.9281082602629787,-87.53319742180835,0,0,1
-89.6419117969574,2.8822711697008945,-91.76641140270296,0,0,1
-89.73118618915916,3.33877117362036,-90.5915092043186,1,0,0
-87.82845165323963,58.72018444311405,-91.46594600231984,0,1,0
-84.1457362198433,1.3341113389375714,0.0,0,0,0
-98.5673715905352,44.89878956767748,-100.88157554720551,0,1,0
-102.53306414571696,70.36724804245961,-107.43767460546152,0,1,0
-90.86139473931313,9.37710989985454,-94.8004742398336,1,0,0
-86.02817147818814,4.55045484201748,-86.93567574033418,1,0,0
-100.03840912757724,49.66892212928872,-96.0684683457205,0,1,0
-90.00468470476486,7.157584346603837,-91.01627058529516,1,0,0
-80.23511311011234,2.92574098800362,-80.52338751633091,0,0,1
-83.68861966080685,1.063240076474928,0.0,0,0,0
-89.25203916110134,1.782184488296441,-93.3537816353805,0,0,1
-90.1770932793786,4.493541476230798,-87.78101358937722,1,0,0
-85.61208600799404,1.6390429036149516,-86.25360241285796,0,0,1
-92.0922051121896,1.293817818045854,-89.56403485130149,0,0,1
-92.99278326023084,1.8333896793469333,-92.650312153027,0,0,1
-83.74604609634011,2.866226442337306,0.0,0,0,0
-87.78066481612544,8.828782565340358,-88.26022705032742,1,0,0
-86.78249681099867,3.4263855881006897,-87.78923534708356,1,0,0
-82.38865249077608,2.972828036965778,0.0,0,0,0
-81.65835751163141,4.149294748394511,-76.85783808186656,1,0,0
-96.5189326609848,8.76866143339062,-95.87074103212085,1,0,0
-92.21845493981752,20.48009716762403,-94.46866302008114,0,1,0
-89.5353614379068,1.4074347865553332,0.0,0,0,0
-92.32514663818117,78.46117850988695,-92.74231447431842,0,1,0
-93.6155216504944,3.290495130699981,-96.1731846468536,1,0,0
-91.27210332165828,2.90624922501593,-88.0810300598814,0,0,1
-89.56790227969333,3.748197068423424,-86.20710952802494,1,0,0
-90.2149660149134,1.975753211996119,0.0,0,0,0
-86.85308626433881,1.0836432475729307,0.0,0,0,0
-87.13488575351629,7.107120691728263,-87.38409595301385,1,0,0
-89.17095032149291,2.3122223009563343,0.0,0,0,0
-89.8357093556721,65.96421081313741,-89.37521003684444,0,1,0
-88.25306977774066,1.186574769443937,-83.65390288131975,0,0,1
-88.39517134606803,2.193032001397261,-88.88094131001833,0,0,1
-88.49246118680426,1.6772865428957264,-89.34765139426067,0,0,1
-100.20906684002298,49.11915862459758,-103.42243878663196,0,1,0
-88.29487527728158,2.2186074379130147,-87.03001887757401,0,0,1
-85.95405925769516,1.5048276259531204,-89.30671916881792,0,0,1
-91.34334199834656,9.332236771790086,-92.5722221530021,1,0,0
-88.56548568575239,2.1216246835550345,-85.34337413267535,0,0,1
